-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: latitude  25.9224   longitude 75.4557 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 306.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M      MERRA-2 Temperature at 2 Meters (F) 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,T2M,RH2M
2010,1,1,60.78,26.46
2010,1,2,59.38,33.24
2010,1,3,61.54,50.51
2010,1,4,59.45,58.5
2010,1,5,57.92,43.86
2010,1,6,58.95,36.77
2010,1,7,57.38,42.26
2010,1,8,57.04,43.8
2010,1,9,57.69,39.38
2010,1,10,58.03,38.35
2010,1,11,60.3,38.02
2010,1,12,63.86,55.86
2010,1,13,60.26,65.39
2010,1,14,55.92,57.05
2010,1,15,57.49,37.21
2010,1,16,60.26,28.39
2010,1,17,60.48,24.34
2010,1,18,59.02,28.42
2010,1,19,61.21,24.2
2010,1,20,62.6,22.78
2010,1,21,63.12,25.12
2010,1,22,67.42,17.86
2010,1,23,64.69,23.8
2010,1,24,65.25,21.31
2010,1,25,63.48,29.84
2010,1,26,63.68,35.49
2010,1,27,65.89,31.55
2010,1,28,66.51,26.33
2010,1,29,67.24,31.48
2010,1,30,66.51,34.01
2010,1,31,64.26,31.82
2010,2,1,61.12,38.37
2010,2,2,63.43,35.14
2010,2,3,63.66,29.22
2010,2,4,65.84,24.43
2010,2,5,66.22,20.78
2010,2,6,69.35,26.04
2010,2,7,71.47,32.2
2010,2,8,71.82,35.39
2010,2,9,67.71,35.56
2010,2,10,58.64,14.5
2010,2,11,61.02,23.29
2010,2,12,67.35,62.65
2010,2,13,65.95,63.6
2010,2,14,66.85,44.91
2010,2,15,67.06,40.23
2010,2,16,65.66,34.22
2010,2,17,61.39,17.04
2010,2,18,60.98,16.62
2010,2,19,66.29,16.13
2010,2,20,67.87,18.69
2010,2,21,71.46,17.67
2010,2,22,74.73,23.3
2010,2,23,70.97,35.45
2010,2,24,70.48,29.82
2010,2,25,71.2,28.22
2010,2,26,75.34,23.49
2010,2,27,76.57,20.8
2010,2,28,76.5,19.99
2010,3,1,77.99,17.91
2010,3,2,78.46,23.29
2010,3,3,79.16,28.23
2010,3,4,77.38,32.61
2010,3,5,77.9,38.71
2010,3,6,75.34,34.81
2010,3,7,73.22,31.45
2010,3,8,72.86,27.78
2010,3,9,73.53,21.58
2010,3,10,73.63,19.69
2010,3,11,75.94,17.12
2010,3,12,76.46,16.46
2010,3,13,79.56,16.33
2010,3,14,80.98,14.78
2010,3,15,81.3,14.87
2010,3,16,81.52,17.3
2010,3,17,81.95,19.49
2010,3,18,81.73,21.5
2010,3,19,83.1,18.01
2010,3,20,86.05,15.65
2010,3,21,86.7,13.86
2010,3,22,86.67,12.93
2010,3,23,85.93,13.37
2010,3,24,85.93,12.42
2010,3,25,86.23,14.46
2010,3,26,86.18,21.32
2010,3,27,85.82,18.21
2010,3,28,85.8,14.86
2010,3,29,87.04,12.77
2010,3,30,85.71,16.86
2010,3,31,87.03,24.23
2010,4,1,86.65,21.8
2010,4,2,87.8,16.66
2010,4,3,86.74,15.48
2010,4,4,88.83,13.8
2010,4,5,88.57,15.19
2010,4,6,86.99,11.82
2010,4,7,87.64,8.53
